,first_name,last_name,interest_list,gender,employment_status,mobile,connection_id,email,attend_status,hours_served_opportunity,hours_served_all,opportunity_name,opportunity_org,opportunity_type,employer,contact_id
0,Virginia,Atkins,,Female,Other,,CO-095401,virginia.atkins@xmail.com,Attended (and Hours Verified),1.5,25.24,Help Primary & Secondary School Kids of Hong Kong's Refugees & Asylum Seekers,HandsOn Hong Kong ,Project,,0030I00001KzFwb
1,Estela,Baize,,Female,Other,,CO-095078,estela.baize@xmail.com,Attended (and Hours Verified),1.5,25.24,Help Primary & Secondary School Kids of Hong Kong's Refugees & Asylum Seekers,HandsOn Hong Kong ,Project,,0030I00001KzFwb
2,Ann,Burks,,Female,Other,,CO-093654,ann.burks@xmail.com,Attended (and Hours Verified),1.5,25.24,Serve-A-Thon: Help Homework Group with Children of Refugees & Asylum Seekers,HandsOn Hong Kong ,Project,,0030I00001KzFwb
3,Brittany,Desilva,"['Education and Empowerment for Children and Youth ', ' Internships & Employment']",Female,Retired,,CO-095194,brittany.desilva@xmail.com,Attended (and Hours Verified),2.0,13.76,Help Out at Hotmeal Service in Wan Chai,HandsOn Hong Kong ,Project,,0030I00001LHaSZ
4,Jessica,Connor,"['Education and Empowerment for Children and Youth ', ' Internships & Employment']",Female,Retired,,CO-094334,jessica.connor@xmail.com,Attended (and Hours Verified),1.17,13.76,Help Ethnic Minority Primary Students with Schoolwork in Tin Hau (ENG),HandsOn Hong Kong ,Project,,0030I00001LHaSZ
5,Martha,Jackson,,Female,,,CO-094584,martha.jackson@xmail.com,Attended (and Hours Verified),6.25,272.25,Enjoy the Outing with Students with Intellectual Disabilities at Cheung Chau,HandsOn Hong Kong ,Project,,0030I00001LHrAB
6,Lenore,Kelly,,Female,,,CO-094526,lenore.kelly@xmail.com,Canceled,0.0,272.25,Help at Outing with Intellectual Disabilities in 18 District,HandsOn Hong Kong ,Project,,0030I00001LHrAB
7,Diane,Waldbauer,,Female,,,CO-093688,diane.waldbauer@xmail.com,Attended (and Hours Verified),6.25,272.25,Serve-A-Thon:Join outing with students have Intellectual Disabilities in SaiKung,HandsOn Hong Kong ,Project,,0030I00001LHrAB
8,Dorothy,Gonzalez,,Female,Full Time,,CO-095318,dorothy.gonzalez@xmail.com,Attended (and Hours Verified),2.0,2.0,Youth Opportunity: Knitting Blankets for the Needy in Central,HandsOn Hong Kong ,Project,,0030I00001LHwfu
9,John,Perez,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' International Service', ' Schools', ' Sports & Recreation', ' Family Services', ' Arts & Culture']",Male,Part Time,,CO-094828,john.perez@xmail.com,Attended (and Hours Verified),1.25,3.75,Youth Opportunity: Help Ethnic Minority children with Schoolwork in TST,HandsOn Hong Kong ,Project,,0030I00001LJj51
